fault_id,fault_description,report_date,is_treatmented,treatment_date,fault_level,reporter_employee_id,repaired_employee_id,facility_id
108,Maintain or think.,2021-05-15,0,,5,907815,,227
109,Economic money choose must former itself.,2020-09-09,0,,2,894430,,412
110,Successful audience inside expert heart.,2021-11-04,1,2022-03-31,2,895482,893353,612
111,Usually else manage likely baby forget.,2020-11-09,1,2022-01-12,5,903098,889323,770
112,Already positive your raise care out democratic.,2020-11-08,1,2021-11-21,3,894735,907520,978
113,Model similar tell find school and without.,2020-10-16,1,2020-12-30,5,908866,894160,22
114,Relate add according field week explain manage.,2022-05-10,0,,3,894467,,581
115,Stage world partner really size.,2021-08-24,0,,3,895519,,905
116,Company two successful thought thousand.,2021-06-08,1,2021-09-30,2,895817,890667,108
117,Available service oil.,2020-08-13,0,,3,901993,,380
118,Music positive right light tend wonder economic.,2021-07-06,0,,2,893020,,347
119,Continue assume wide want few.,2021-12-31,0,,4,890533,,257
120,Ten begin we goal nation create somebody.,2021-12-03,0,,2,896265,,927
121,Enter production field well.,2022-03-14,0,,2,908355,,956
122,Success analysis way.,2020-12-07,0,,2,905905,,943
123,Property garden kid stand change save choice.,2021-09-28,0,,2,904743,,26
124,Second voice want hear.,2022-02-02,1,2022-05-13,2,900468,904441,272
125,Trade example happy who audience tonight.,2021-04-11,0,,1,897117,,848
126,Democrat the finish even trial.,2021-02-11,1,2021-06-16,2,904163,903873,433
127,Bad bank child speech. Truth evidence year claim.,2022-06-01,0,,2,898509,,91
128,Thus bed by goal late personal north.,2021-02-22,0,,4,906124,,13
129,Director design line.,2021-06-24,1,2022-04-09,2,901447,903471,893
130,Population six think establish.,2020-06-15,0,,1,889129,,27
131,Always send different car hold choose.,2022-04-17,0,,2,891387,,548
132,Peace detail while democratic care.,2021-04-18,1,2021-10-24,3,904846,898241,75
133,Answer provide your stand sell arrive brother.,2021-04-06,0,,4,900885,,901
134,Down give economic business store civil.,2020-09-15,1,2021-07-25,2,894553,905435,211
135,School term indeed hour how picture point space.,2022-01-19,1,2022-05-14,3,898977,904325,10
136,As develop miss company behind.,2021-12-22,1,2022-05-03,5,903703,906332,911
137,Consider while value reduce maybe expert.,2022-03-27,1,2022-04-03,3,900913,895623,537
138,Her past thus year area black size least.,2021-08-02,0,,5,903748,,570
139,Prevent analysis hospital collection among next.,2022-05-28,0,,1,890397,,666
140,Company if century party together.,2021-04-08,0,,5,892266,,27
141,Network during with oil half. Money while fall.,2021-08-14,1,2021-10-02,1,908779,906712,522
142,Just several information attention everybody.,2021-06-06,1,2022-03-11,2,894561,908149,628
143,Minute eat social anything hotel I than.,2022-01-17,1,2022-03-01,4,907656,902842,325
144,Want professional generation class.,2021-01-13,0,,5,891454,,178
145,Wide the matter marriage partner health.,2021-10-29,0,,4,905772,,635
146,Really while official finish.,2020-06-14,0,,4,896966,,498
147,Sing sell maintain few practice set.,2021-09-22,0,,3,897608,,219
148,Certainly same can seek approach fish.,2021-01-30,0,,1,908761,,400
149,Money Mrs whole particularly.,2020-06-18,0,,2,905404,,474
150,White per animal save.,2021-07-03,1,2021-09-21,3,898924,899303,490
151,Pass lead bit seem should whatever senior.,2021-08-22,1,2022-02-16,5,908525,898996,125
152,Business finish fast black the nearly sport a.,2020-06-16,0,,4,893905,,755
153,Determine along that deal idea sit.,2020-09-16,1,2022-04-09,3,900171,898545,824
154,Break result leave include.,2021-09-25,0,,4,901169,,111
155,Authority wish entire wait current my.,2021-06-24,0,,5,904224,,990
156,Interview condition ready movement.,2020-09-25,1,2020-09-27,2,904213,907312,606
157,Rate tree sense rule defense mention likely.,2021-07-24,0,,3,899083,,997
158,Finish close easy prove real.,2021-05-13,1,2021-10-04,5,906175,901686,77
159,Fear visit every force painting she.,2020-11-25,0,,3,906821,,61
160,Reflect stage deep employee any country church.,2020-11-18,1,2021-03-17,4,904894,905118,112
161,Animal money assume account.,2021-06-05,0,,2,896067,,197
162,Exist poor money major Democrat hundred.,2021-05-29,1,2021-10-23,3,896870,891339,318
163,Teacher later beat popular can against.,2021-12-30,0,,5,908613,,935
164,Management everyone final.,2020-11-19,1,2021-03-17,1,889042,893275,873
165,Wish floor above type exactly.,2021-01-15,1,2021-05-10,5,889476,901394,580
166,Central sing mission close seem middle part.,2022-01-20,1,2022-04-22,3,894038,893975,548
167,Meet so kid become lead.,2021-04-24,1,2021-12-26,1,895307,894932,663
168,Use thank writer price natural.,2020-11-09,0,,2,897420,,786
169,Official win election rise her soon seem.,2021-10-21,1,2022-01-04,1,894035,889702,95
170,Indicate when rest argue. Health should force.,2020-08-01,0,,4,895017,,453
171,At require wide somebody beyond food collection.,2021-05-05,0,,2,901449,,287
172,Condition stop loss store close.,2021-10-30,1,2022-01-29,1,898690,897407,785
173,Cell light itself.,2020-11-10,0,,2,898759,,551
174,Change clear guess form draw.,2021-04-23,0,,2,896317,,755
175,Toward perform hour car become will war end.,2021-07-02,0,,4,888970,,393
176,Reduce camera beat stuff something spring board.,2022-05-08,0,,4,894396,,411
177,Adult attorney let themselves.,2020-11-27,1,2021-08-22,5,896080,905093,170
178,End herself certainly charge almost.,2020-11-16,0,,4,906355,,715
179,Crime weight lot indeed consider such wife.,2020-11-27,1,2021-01-30,1,896943,908477,234
180,Fill tree cultural break customer for.,2021-03-17,0,,5,905258,,990
181,Toward person send add whose off pass.,2021-08-03,0,,3,891252,,870
182,Although happen speak.,2021-04-07,0,,3,890278,,413
183,Keep possible person knowledge.,2022-04-17,1,2022-06-05,2,901738,905789,509
184,Social positive much fund current that fight.,2021-06-02,1,2022-04-20,5,900974,906285,177
185,Understand never evening.,2021-05-14,0,,2,893392,,600
186,Blood break kitchen their role race adult.,2021-02-05,0,,2,896197,,235
187,Look chance lead area.,2022-05-16,1,2022-06-03,3,902295,898535,913
188,Girl development goal great thought serve floor.,2020-10-14,1,2021-04-06,1,900265,889092,383
189,Up want physical matter.,2022-02-05,0,,5,897374,,633
190,Should strong sort account dog.,2022-02-08,0,,5,908650,,967
191,Under close now hair believe the stay.,2020-12-26,1,2021-05-12,1,900010,904695,955
192,Every agreement add oil establish the.,2020-10-25,0,,3,900690,,22
193,Care never design candidate.,2022-05-23,1,2022-06-07,3,902502,903370,564
194,Color full about exist reality.,2020-08-18,1,2020-09-07,3,906116,900742,843
195,Doctor plant step first relationship industry.,2020-07-07,0,,2,902323,,126
196,Need view discussion night practice each.,2020-06-13,0,,1,890593,,575
197,Office job way state.,2022-02-07,0,,2,890993,,725
198,Heart what appear spring fast understand figure.,2021-08-22,1,2022-03-31,5,892718,893116,879
199,Official light drop particularly small nice.,2021-06-12,0,,1,894226,,813
200,Sense forward war attorney number cover pattern.,2020-12-29,0,,2,898432,,876
201,Speak police born there would nation our.,2022-03-20,0,,1,900990,,976
202,Appear bar husband either possible along lot.,2021-08-20,1,2022-05-04,4,900273,905977,245
203,Increase walk share practice current activity.,2021-03-12,0,,3,891994,,638
204,Yard arrive almost record of late tend.,2021-01-22,1,2021-08-12,4,901482,897707,514
205,Any yeah east great Mrs first.,2020-09-06,1,2021-04-18,2,898288,892296,187
206,By professor red specific grow clearly.,2022-03-01,0,,1,893712,,471
207,Require play wonder they director represent.,2020-10-13,0,,1,906288,,956
208,Debate live community guy throughout art view.,2021-08-28,0,,2,898500,,413
209,Nothing detail yes our allow radio leg.,2020-08-21,1,2021-08-14,4,893542,903371,194
210,Different from enough.,2021-04-19,0,,4,895040,,683
211,Relate old type offer audience.,2020-11-25,0,,3,893106,,95
212,Interest what store fly good.,2022-03-13,0,,5,893636,,70
213,Dinner rule however officer major.,2021-11-18,0,,4,903486,,397
214,Organization front fine participant discover.,2022-01-30,1,2022-02-15,2,892015,902267,491
215,Memory general include throw finish serious.,2022-03-09,0,,4,895345,,412
216,Mean really give of other tell because.,2021-12-17,1,2022-04-10,1,900465,906748,417
217,Area become food exactly nation wish wear among.,2021-09-01,1,2021-10-10,3,894390,893473,489
218,Catch drop or various property leg performance.,2021-07-14,1,2022-06-07,3,892818,906914,241
219,Wide amount side difficult near.,2021-12-07,0,,1,890579,,321
220,Bed right Mrs argue case.,2022-03-21,1,2022-05-24,1,904982,900063,940
221,North each better personal. Board day turn tax.,2020-06-17,1,2021-09-14,3,889486,891624,426
222,And less color ever account per.,2021-12-13,0,,4,903504,,856
223,Sport dream hand surface body society.,2020-12-05,1,2021-05-11,3,892700,907160,178
224,Around imagine indeed group peace key spend low.,2020-10-30,0,,5,904860,,105
225,Those hundred make political all.,2020-10-20,0,,2,902884,,685
226,Race manager suddenly perhaps.,2020-10-11,0,,1,891749,,525
227,Address allow as able front than.,2020-12-06,1,2022-06-01,4,904708,891219,707
228,Front allow leave many.,2022-04-09,1,2022-04-27,3,896691,900542,299
229,I price reduce employee for ready.,2021-06-30,0,,4,903135,,794
230,Beat sea station hope others style loss follow.,2021-06-08,1,2022-02-09,3,907988,904738,469
231,Book child adult.,2021-06-29,0,,2,900483,,94
232,Then its shoulder appear.,2021-10-03,1,2022-02-22,3,900471,897879,564
233,Expect individual nice firm contain generation.,2021-02-12,0,,5,903670,,328
234,Buy join red always.,2021-06-19,1,2021-08-14,1,900452,889342,623
235,Try improve important political test.,2022-04-20,0,,4,906254,,429
236,Month serious be on though state suggest for.,2022-02-23,1,2022-03-01,2,907948,895656,689
237,Government sort sure general.,2022-04-13,0,,3,900821,,55
238,School enjoy local network contain week born.,2021-08-28,1,2021-09-30,2,897312,900841,887
239,Ago writer message author.,2022-01-11,0,,2,904930,,787
240,Use letter from will ability near rich.,2021-09-11,1,2021-11-09,1,903436,903163,616
241,Might bed technology quite sort foreign its.,2021-04-22,0,,3,895030,,207
242,Book painting respond water day.,2022-04-01,1,2022-04-08,5,901038,900445,275
243,Poor difficult later politics.,2021-04-20,1,2021-08-04,4,904058,899743,548
244,During check society manager record choice.,2022-03-01,0,,2,901259,,131
245,Throw anything art.,2022-05-13,0,,2,907253,,620
246,Safe over law more security. Out for explain.,2022-04-10,0,,4,897269,,625
247,Tree bit least production couple.,2020-11-26,0,,2,889059,,382
248,However a knowledge allow arrive.,2022-02-27,1,2022-03-12,2,904742,892991,767
249,Tv take amount economic point old he.,2020-07-18,1,2021-08-02,5,900945,907581,342
250,Least card matter drive politics.,2021-01-15,0,,4,893423,,147
251,Especially memory daughter Congress.,2022-04-21,0,,1,900842,,669
252,Defense Mr rest heart.,2021-10-14,1,2022-01-23,2,895633,898809,32
253,Strategy with already I stay scientist fly.,2020-11-17,1,2021-04-12,5,899083,896327,782
254,Plant nature I occur kind.,2022-05-09,0,,2,889468,,322
255,Involve field old guess action.,2022-01-05,1,2022-04-03,4,900949,895832,217
256,System think system wonder.,2021-09-27,1,2021-10-08,2,901897,903479,369
257,Focus either space control.,2020-08-16,0,,5,896805,,572
258,Pm wind rule keep such Republican.,2021-09-13,1,2022-03-19,3,904281,895245,839
259,Let manager might year.,2021-06-12,1,2021-12-19,1,907104,891402,820
260,As think reveal.,2020-11-25,0,,1,892246,,982
261,Easy democratic across leg scene.,2021-11-28,1,2022-05-26,1,898325,903037,922
262,Against teach stand case TV style.,2021-10-27,1,2021-11-23,4,905957,904869,579
263,Better nice adult year region.,2020-08-27,1,2022-05-30,5,889216,902693,486
264,Good tonight consider player low business able.,2020-10-16,1,2022-03-26,3,903272,889191,843
265,Too new even check environmental.,2022-02-17,0,,2,908599,,33
266,Strong his professional their anyone husband.,2021-08-02,0,,4,908175,,536
267,Value majority themselves line.,2022-04-09,0,,4,890493,,719
268,Someone five garden society home nearly.,2021-12-03,1,2022-01-15,2,902921,904194,274
269,Ask large degree eat research benefit.,2021-02-24,0,,2,895923,,46
270,Soon teach long no station gun.,2022-04-05,1,2022-04-20,2,896860,904478,612
271,Improve anything form however.,2022-01-02,0,,5,895114,,165
272,Care south too deep south.,2022-02-17,0,,1,899528,,830
273,Interest quite well cultural discussion return.,2022-05-12,0,,2,899433,,228
274,Thing lead health order anyone.,2021-04-22,1,2022-03-29,2,900289,893958,717
275,Interest throughout guy. Check different improve.,2021-08-14,1,2021-12-24,3,906210,893838,731
276,War a material memory learn movement she song.,2020-06-22,0,,1,903177,,935
277,Less his summer PM to think thank close.,2021-12-26,1,2022-02-19,4,905786,893352,215
278,Century nearly town environment.,2020-11-26,1,2021-12-25,1,896099,907352,335
279,Body likely camera old thousand service fly.,2021-11-17,0,,1,902776,,760
280,Manage Mr various with behind once voice.,2021-12-12,1,2022-01-06,5,903774,895102,964
281,Set word example analysis.,2021-05-18,0,,4,892792,,206
282,Admit daughter writer. Fight true pretty.,2020-10-24,1,2022-05-16,4,891261,892218,655
283,Try car drive can expect take.,2021-10-11,0,,4,906567,,113
284,Her theory because feel some.,2022-06-07,1,2022-06-07,4,905893,900805,43
285,Hand hear bed appear happen.,2022-04-18,0,,3,908834,,505
286,Able toward wait win ago drop leg.,2021-07-06,0,,1,897526,,582
287,Analysis three major. Identify foot think.,2022-03-08,0,,2,891395,,91
288,Shake safe center.,2020-06-19,1,2022-05-14,4,899197,891828,862
289,Mother agreement policy necessary reason.,2020-12-09,0,,4,895470,,977
290,Almost thousand both part material positive.,2022-02-17,1,2022-03-11,1,901099,901832,233
291,Impact budget point choose see my money.,2021-07-01,1,2021-12-01,2,893272,890930,59
292,Such environment charge both of.,2020-09-29,0,,2,908023,,674
293,Wear agent enjoy somebody.,2022-05-25,1,2022-06-07,5,904881,895761,869
294,Military must hard according.,2020-08-09,1,2021-09-19,4,906584,895006,691
295,Laugh will particular method term study house.,2020-12-11,1,2021-09-18,2,901850,903438,983
296,Dark author official bank.,2020-09-12,1,2021-04-10,1,897151,900770,45
297,Race film station performance old million skill.,2020-09-18,1,2021-05-23,1,900051,892742,519
298,Material wall team that.,2021-10-11,0,,2,889420,,526
299,Name appear simply writer wrong gas central.,2021-02-06,1,2021-05-28,3,896359,902297,368
300,Action a buy process chair key term organization.,2022-01-05,1,2022-05-05,3,897849,889932,736
301,Thought bad international book education late.,2022-05-10,0,,3,890893,,976
302,Prove apply inside.,2020-12-03,0,,4,900264,,419
303,Final among area body particular chance.,2022-01-11,0,,3,905575,,457
304,Arrive fly just necessary here bill.,2022-04-28,0,,4,900616,,966
305,Near throw change sit.,2020-10-14,0,,3,907170,,876
306,Year usually state cost better live indeed offer.,2022-02-09,0,,5,897689,,965
307,Window peace present language.,2021-04-26,1,2022-01-03,2,906702,908538,874
308,Personal indicate government whose ask political.,2020-09-03,0,,4,898463,,475
309,Performance attention wear raise.,2021-04-20,0,,2,890581,,720
310,Per husband also member. Little ago then capital.,2021-07-25,0,,4,899421,,809
311,Serious huge position figure.,2021-05-26,0,,1,900049,,203
312,Owner country environmental memory fall Mrs plan.,2021-06-30,0,,1,892128,,996
313,Best career rock feeling.,2021-11-23,0,,4,907284,,215
314,Picture design can perform. Their PM attorney be.,2020-10-18,0,,1,892587,,778
315,Home social name watch alone.,2020-08-10,1,2021-12-20,2,901508,907959,261
316,Part relationship hour arm move.,2021-08-17,1,2022-05-11,1,903515,901189,225
317,And population line reduce.,2022-01-21,0,,1,894143,,948
318,Forget security list term.,2022-05-30,0,,3,896350,,360
319,He finish fact travel we parent hear.,2021-02-24,0,,5,908589,,56
320,Soon generation management.,2022-05-11,1,2022-05-23,4,907838,895799,837
321,Here itself prepare effect billion sing fact.,2020-10-08,1,2021-01-17,1,905897,904715,813
322,Simply Congress group individual clear add agent.,2022-03-07,0,,2,894555,,963
323,Story listen board. Clearly hour by.,2021-04-01,0,,1,905995,,659
324,Majority this pay those.,2021-04-25,1,2021-08-27,3,900780,895938,732
325,Radio beyond very travel military worry offer.,2022-05-10,0,,3,891859,,106
326,American happy already us defense save.,2022-05-04,1,2022-05-14,3,901394,901296,929
327,Walk conference participant least player later.,2021-10-03,1,2022-04-20,2,901763,895467,816
328,Rich low raise ok say available.,2021-03-07,1,2022-05-25,2,893522,904143,928
329,Difference structure into either natural.,2020-08-31,1,2021-04-29,3,889160,890021,593
330,Sense in building peace rate activity.,2020-08-13,1,2021-10-18,5,900535,904819,112
331,Movie safe month share throughout.,2021-04-07,1,2022-03-05,1,904376,904532,262
332,Start rich need thank listen work during out.,2020-08-31,0,,2,893758,,619
333,Call me reach or start book.,2022-04-29,0,,1,888925,,466
334,Crime high yeah even whose.,2021-11-27,1,2022-01-24,5,896453,890871,332
335,Staff food health enter must decision.,2020-07-15,0,,4,905878,,857
336,New discover level mean.,2021-11-24,1,2022-02-05,1,900430,889316,964
337,Pretty attack step week your.,2022-01-18,0,,3,903959,,898
338,My whom one too.,2022-04-24,1,2022-05-11,1,899655,903650,342
339,Deep stock figure nothing.,2020-09-24,1,2022-05-31,2,892316,903753,839
340,Actually candidate successful try.,2020-10-16,1,2022-01-19,4,893762,898579,215
341,Reflect live join value national political.,2020-11-06,0,,1,901159,,298
342,Business let contain draw strong until.,2021-03-14,0,,3,907847,,94
343,Rise air generation true year share.,2020-06-10,1,2020-12-08,5,902577,906027,288
344,Include base mother remain notice.,2020-08-23,1,2022-02-25,4,908309,894264,450
345,Must whether book huge. Near billion public.,2020-08-24,0,,1,906116,,719
346,Page site institution especially.,2021-07-08,0,,2,889971,,918
347,Maybe capital group why serve traditional.,2021-06-01,0,,3,892121,,67
348,Form lead check key.,2022-05-09,1,2022-05-30,5,893224,891938,433
349,Pm loss mean science beyond real pass.,2021-04-13,1,2021-11-25,4,896118,900013,743
350,Trial speak pick city bill memory town.,2021-05-12,0,,1,907570,,875
351,Way ahead on. Edge week heavy else.,2020-08-23,0,,5,893351,,717
352,First west become left glass participant staff.,2021-02-14,0,,2,894399,,745
353,Next fast mother else single father.,2020-07-22,1,2021-04-24,1,900901,894117,149
354,Win middle law foot kid.,2021-12-21,0,,5,900671,,506
355,Business question military have rather.,2021-10-07,0,,2,895463,,729
356,Most material though research less usually lose.,2021-05-08,0,,4,889634,,304
357,Through bank walk pretty actually program.,2022-02-26,0,,2,899361,,948
358,Game cultural business number process.,2021-04-25,1,2022-05-08,5,906850,892483,781
359,Economic church film moment food past.,2021-10-13,0,,5,891233,,761
360,International picture trial fund.,2020-12-28,0,,2,896811,,571
361,Continue research issue his at man doctor.,2021-04-09,1,2022-06-06,2,898187,892831,22
362,Economic expect attention make begin.,2020-06-10,0,,3,904788,,823
363,War simple stock former.,2020-12-11,0,,5,889206,,898
364,Yes sea range collection.,2022-01-13,0,,3,907073,,692
365,In near that reveal lot base.,2022-03-21,0,,1,907003,,307
366,Generation like involve young wear.,2022-05-01,1,2022-05-15,1,891063,908160,2
367,Guy effect she if during move really official.,2020-09-05,0,,4,901211,,676
368,Would west region over event.,2022-02-21,0,,1,901186,,660
369,Decide blood kitchen open.,2021-08-05,1,2022-05-18,1,898045,890885,299
370,Picture mission account watch.,2020-11-10,1,2021-06-12,1,904125,905466,173
371,Run enjoy maybe line man.,2020-11-20,0,,1,899767,,796
372,Blue include again operation.,2020-06-21,1,2021-09-10,1,905875,893930,44
373,Discover quality bank dinner.,2021-07-08,0,,2,903927,,796
374,Act exactly citizen dream.,2022-03-15,1,2022-04-19,1,890494,896046,592
375,Across yard dog allow.,2020-12-14,1,2021-12-23,2,904327,904311,10
376,Expect activity west leader.,2022-04-18,1,2022-04-27,5,891387,900920,362
377,Central degree federal ability.,2022-01-04,1,2022-01-05,4,903776,898618,640
378,Fill notice something kind we seat sort analysis.,2022-01-13,0,,3,893834,,929
379,Best can music they outside table low.,2021-02-03,0,,1,901896,,723
380,Father look discover threat most reduce film all.,2021-12-11,0,,4,893278,,550
381,Personal little trade material usually most.,2021-11-07,0,,5,898019,,558
382,Population view kitchen wish and across.,2021-11-10,1,2022-02-11,4,893241,897452,262
383,Blue right I education pressure office.,2021-01-20,0,,2,902610,,285
384,Know yet money treatment style station.,2022-05-01,0,,3,904308,,837
385,Or someone money career.,2020-12-21,0,,4,900053,,290
386,Environment almost side cut although reflect.,2022-04-02,0,,1,900297,,233
387,Yard truth fund attack economic.,2021-04-15,0,,4,897094,,446
